incident_id,timestamp,machine_id,operator_id,task_id,incident_type,severity,cause,source,weather,light,min_person_distance_m,person_in_blind_spot,seatbelt_fastened,continuous_operation_min,ground_speed_max_kmh,pitch_max_deg,cab_temp_c
INC00001,2024-11-04 08:58:00,BHL001,OP1007,TK000140,minor_collision,high,harsh or fast travel,auto,Sunny,day,,False,True,74.0,0.77,6.1,23.6
INC00002,2024-11-04 13:59:00,BHL001,OP1007,TK000142,near_miss_person,high,worker inside danger zone (blind spot),auto,Extreme Heat,day,3.3,True,True,11.0,0.68,1.7,27.3
INC00003,2024-11-08 11:27:00,BHL001,OP1007,TK000335,near_miss_person,high,general operating risk,supervisor_report,Cloudy,day,12.2,True,True,31.0,0.98,4.4,23.4
INC00004,2024-11-14 13:15:00,BHL001,OP1007,TK000576,near_miss_person,high,worker inside danger zone (blind spot),auto,Rainy,day,3.9,True,True,6.0,0.6,4.5,23.8
INC00005,2024-11-20 11:53:00,BHL001,OP1007,TK000817,near_miss_person,high,general operating risk,operator_report,Windy,day,,False,True,117.0,0.0,7.5,25.4
INC00006,2024-11-25 08:33:00,BHL001,OP1007,TK001001,minor_collision,high,harsh or fast travel,auto,Dust,day,,False,True,42.0,0.93,2.2,25.3
INC00007,2024-11-25 11:41:00,BHL001,OP1007,TK001002,property_damage,warning,general operating risk,operator_report,Dust,day,,False,True,82.0,0.4,6.5,25.1
INC00008,2024-11-25 18:45:00,BHL001,OP1007,TK001005,near_miss_person,high,general operating risk,operator_report,Dust,night,12.3,False,True,174.0,0.82,4.2,25.2
INC00009,2024-11-28 10:26:00,BHL001,OP1007,TK001137,utility_strike_risk,high,general operating risk,operator_report,Sunny,day,,False,True,157.0,0.26,3.4,24.6
INC00010,2024-12-02 11:21:00,BHL001,OP1007,TK001283,near_miss_vehicle,warning,general operating risk,supervisor_report,Windy,day,17.7,True,True,89.0,0.39,3.7,26.2
INC00011,2024-12-03 13:44:00,BHL001,OP1007,TK001336,property_damage,warning,general operating risk,operator_report,Sunny,day,,False,True,38.0,0.36,4.1,23.0
INC00012,2024-12-07 08:37:00,BHL001,OP1007,TK001521,property_damage,warning,general operating risk,supervisor_report,Rainy,day,,False,True,83.0,0.5,5.0,24.6
INC00013,2024-12-13 15:04:00,BHL001,OP1007,TK001759,near_miss_vehicle,warning,general operating risk,supervisor_report,Rainy,day,18.8,True,True,24.0,0.71,6.7,22.6
INC00014,2024-12-14 10:19:00,BHL001,OP1007,TK001801,property_damage,warning,general operating risk,supervisor_report,Fog,day,,False,True,158.0,0.52,3.8,26.8
INC00015,2024-12-14 13:50:00,BHL001,OP1007,TK001803,property_damage,warning,general operating risk,supervisor_report,Fog,day,,False,True,66.0,0.12,5.1,24.8
INC00016,2024-12-14 14:36:00,BHL001,OP1007,TK001804,near_miss_person,high,general operating risk,supervisor_report,Fog,day,,False,True,112.0,0.91,4.4,25.8
INC00017,2024-12-14 14:46:00,BHL001,OP1007,TK001804,near_miss_vehicle,warning,general operating risk,operator_report,Fog,day,,False,True,122.0,0.3,0.5,23.4
INC00018,2024-12-16 07:34:00,BHL001,OP1007,,property_damage,warning,general operating risk,supervisor_report,Fog,day,15.2,True,True,2.0,0.0,3.1,25.0
INC00019,2024-12-17 15:32:00,BHL001,OP1007,TK001891,near_miss_vehicle,warning,general operating risk,operator_report,Fog,day,,False,False,1.0,4.99,1.1,22.6
INC00020,2024-12-23 12:26:00,BHL001,OP1007,TK002109,property_damage,warning,general operating risk,operator_report,Fog,day,,False,False,102.0,0.0,4.0,23.2
INC00021,2024-12-28 12:12:00,BHL001,OP1007,TK002345,near_miss_vehicle,warning,general operating risk,operator_report,Fog,day,,False,True,117.0,0.5,5.2,23.4
INC00022,2024-12-28 14:22:00,BHL001,OP1007,,near_miss_vehicle,warning,general operating risk,operator_report,Fog,day,,False,False,247.0,0.0,2.6,23.1
INC00023,2024-12-31 10:29:00,BHL001,OP1007,TK002434,near_miss_person,high,fast swing,operator_report,Fog,day,,False,True,17.0,0.74,3.8,24.1
INC00024,2024-12-31 11:19:00,BHL001,OP1007,TK002435,near_miss_vehicle,warning,general operating risk,operator_report,Fog,day,,False,True,67.0,0.13,3.6,23.3
INC00025,2025-01-04 07:35:00,BHL001,OP1007,TK002619,near_miss_vehicle,warning,general operating risk,operator_report,Cloudy,dusk,13.8,False,True,14.0,0.98,2.4,24.3
INC00026,2025-01-04 18:42:00,BHL001,OP1007,TK002624,near_miss_vehicle,warning,general operating risk,operator_report,Cloudy,night,,False,True,356.0,0.55,1.7,24.9
INC00027,2025-01-06 09:13:00,BHL001,OP1007,TK002660,near_miss_vehicle,warning,general operating risk,supervisor_report,Fog,day,,False,True,75.0,0.01,2.8,23.5
INC00028,2025-01-18 15:49:00,BHL001,OP1007,TK003167,near_miss_vehicle,warning,general operating risk,operator_report,Windy,day,,False,True,14.0,0.92,5.0,22.3
