operator_id,module_id,recommended_at,reason,completed_at,quiz_score_pct
OP1001,TRN-ENGINE-01,2024-11-01 08:30:00,overheating,2024-11-04 05:48:38.980134325,77.0
OP1004,TRN-ENGINE-01,2024-11-01 14:10:00,over_rev,,
OP1004,TRN-SEC-01,2024-11-01 20:20:00,after_hours_use,,
OP1005,TRN-ENGINE-01,2024-11-02 12:30:00,overheating,,
OP1001,TRN-FATIGUE-01,2024-11-02 23:50:00,fatigue,,
OP1001,TRN-FATIGUE-01,2024-11-03 00:00:00,fatigue,2024-11-07 15:26:01.717034837,76.0
OP1007,TRN-PROX-01,2024-11-04 13:59:00,near_miss_person,2024-11-09 06:46:04.931487862,68.0
OP1002,TRN-PROX-01,2024-11-04 15:15:00,near_miss_person,2024-11-05 16:33:58.373197820,98.0
OP1007,TRN-SWING-01,2024-11-05 10:25:00,fast_swing,2024-11-08 03:38:03.404168819,72.0
OP1009,TRN-IDLE-01,2024-11-05 12:45:00,excessive_idling,2024-11-08 08:33:00.642485842,82.0
OP1007,TRN-SLOPE-01,2024-11-06 08:20:00,slope_exceeded,2024-11-09 22:38:45.811341612,66.0
OP1010,TRN-SLOPE-01,2024-11-06 17:30:00,slope_exceeded,2024-11-08 22:06:35.538274427,86.0
OP1008,TRN-SWING-01,2024-11-07 10:10:00,fast_swing,2024-11-08 19:01:00.833699352,81.0
OP1008,TRN-CAB-01,2024-11-07 10:15:00,operator_out_of_seat,2024-11-08 22:44:55.872888539,77.0
OP1006,TRN-PROX-01,2024-11-07 13:53:00,near_miss_person,,
OP1011,TRN-ENGINE-01,2024-11-08 09:10:00,overheating,2024-11-10 08:31:16.255543196,78.0
OP1007,TRN-PROX-01,2024-11-08 11:27:00,near_miss_person,2024-11-12 12:18:56.455140576,75.0
OP1004,TRN-IDLE-01,2024-11-08 12:20:00,excessive_idling,2024-11-09 19:41:22.574616566,58.0
OP1007,TRN-FATIGUE-01,2024-11-08 16:30:00,fatigue,2024-11-10 18:55:14.219999203,77.0
OP1012,TRN-FATIGUE-01,2024-11-09 01:55:00,fatigue,2024-11-09 15:07:52.734009903,60.0
OP1012,TRN-IDLE-01,2024-11-09 05:30:00,excessive_idling,,
OP1003,TRN-PROX-01,2024-11-09 15:53:00,near_miss_person,2024-11-14 10:08:37.296196686,68.0
OP1003,TRN-ENGINE-01,2024-11-09 15:55:00,overheating,,
OP1007,TRN-SWING-01,2024-11-11 10:05:00,harsh_operation,,
OP1002,TRN-IDLE-01,2024-11-11 10:55:00,excessive_idling,2024-11-15 23:31:34.967234534,86.0
OP1008,TRN-FATIGUE-01,2024-11-11 11:10:00,fatigue,2024-11-12 13:50:45.263869316,71.0
OP1002,TRN-SLOPE-01,2024-11-11 11:45:00,slope_exceeded,,
OP1004,TRN-BELT-01,2024-11-11 16:40:00,seatbelt_off_while_moving,,
OP1002,TRN-FATIGUE-01,2024-11-12 11:50:00,fatigue,2024-11-13 11:35:06.493203146,85.0
OP1001,TRN-FATIGUE-01,2024-11-12 13:45:00,fatigue,2024-11-16 14:11:50.387016246,91.0
OP1008,TRN-CAB-01,2024-11-13 12:55:00,operator_out_of_seat,2024-11-16 03:36:00.334846252,78.0
OP1010,TRN-PROX-01,2024-11-14 09:41:00,near_miss_person,2024-11-18 03:03:18.768552512,86.0
OP1005,TRN-SLOPE-01,2024-11-14 11:00:00,slope_exceeded,2024-11-16 14:44:53.301263187,86.0
OP1007,TRN-PROX-01,2024-11-14 13:15:00,near_miss_person,2024-11-19 09:53:28.998661545,76.0
OP1008,TRN-PROX-01,2024-11-14 16:30:00,near_miss_person,2024-11-16 22:24:15.089529133,77.0
OP1011,TRN-FATIGUE-01,2024-11-15 17:40:00,fatigue,2024-11-17 05:15:20.936486411,86.0
OP1003,TRN-FATIGUE-01,2024-11-16 11:25:00,fatigue,,
OP1003,TRN-LOAD-01,2024-11-18 14:45:00,low_productivity,2024-11-22 17:43:19.104893927,75.0
OP1003,TRN-FATIGUE-01,2024-11-19 17:55:00,fatigue,2024-11-22 23:51:33.895893744,69.0
OP1001,TRN-FATIGUE-01,2024-11-19 19:05:00,fatigue,2024-11-21 23:56:54.636758311,78.0
OP1002,TRN-IDLE-01,2024-11-20 13:05:00,excessive_idling,2024-11-22 06:33:33.122108701,90.0
OP1003,TRN-FATIGUE-01,2024-11-20 13:45:00,fatigue,2024-11-21 23:47:04.921751700,71.0
OP1008,TRN-SWING-01,2024-11-20 14:05:00,fast_swing,,
OP1003,TRN-PROX-01,2024-11-20 15:40:00,near_miss_person,2024-11-24 00:41:34.435063970,77.0
